model,dataset,proj,epochs,layers,lr1,lr2,wd2,channels,proj_dim,tau,edr,fmr,accuracy
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7100000381469727
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.6920000314712524
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7080000042915344
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7080000042915344
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7140000462532043
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7150000333786011
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7040000557899475
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7010000348091125
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7190000414848328
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7170000076293945
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7090000510215759
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7110000252723694
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7190000414848328
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7110000252723694
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7190000414848328
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7130000591278076
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7010000348091125
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7000000476837158
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.706000030040741
GRACE,CiteSeer,nonlinear-hid,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7040000557899475
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7220000624656677
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7080000042915344
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7090000510215759
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7130000591278076
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7090000510215759
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7110000252723694
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7110000252723694
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.6960000395774841
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7250000238418579
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7110000252723694
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7050000429153442
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7140000462532043
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7150000333786011
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7100000381469727
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.703000009059906
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7270000576972961
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7090000510215759
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7140000462532043
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7120000123977661
GRACE,CiteSeer,nonlinear,100,1,0.001,0.01,0.0001,512,512,0.5,0.4,0.5,0.7130000591278076
GRACE,CiteSeer,linear,100,1,0.001,0.01,0.0001,512,512,0.5,0.1,0.5,0.7020000219345093
GRACE,CiteSeer,linear,100,1,0.001,0.01,0.0001,512,512,0.5,0.1,0.5,0.7260000109672546
GRACE,CiteSeer,linear,100,1,0.001,0.01,0.0001,512,512,0.5,0.1,0.5,0.7070000171661377
GRACE,CiteSeer,linear,100,1,0.001,0.01,0.0001,512,512,0.5,0.1,0.5,0.7080000042915344
GRACE,CiteSeer,linear,100,1,0.001,0.01,0.0001,512,512,0.5,0.1,0.5,0.7110000252723694
GRACE,CiteSeer,linear,100,1,0.001,0.01,0.0001,512,512,0.5,0.1,0.5,0.7080000042915344
GRACE,CiteSeer,linear,100,1,0.001,0.01,0.0001,512,512,0.5,0.1,0.5,0.7120000123977661
GRACE,CiteSeer,linear,100,1,0.001,0.01,0.0001,512,512,0.5,0.1,0.5,0.7050000429153442
GRACE,CiteSeer,linear,100,1,0.001,0.01,0.0001,512,512,0.5,0.1,0.5,0.718000054359436
GRACE,CiteSeer,linear,100,1,0.001,0.01,0.0001,512,512,0.5,0.1,0.5,0.718000054359436
GRACE,CiteSeer,linear,100,1,0.001,0.01,0.0001,512,512,0.5,0.1,0.5,0.7040000557899475
